1088431000114,POSTO SAMBAREIA,ACESSO BR 316 KM 27,S/N,,ZONA RURAL,DEMERVAL LOBAO,PI,Diesel S10,3,24/12/2019 11:53
1109449000155,RODOCAMP AUTO SERVICE LTDA,AVENIDA MERCEDES BENZ,1,GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,Gasolina C Comum,4,23/01/2019 14:57
1109449000155,RODOCAMP AUTO SERVICE LTDA,AVENIDA MERCEDES BENZ,1,GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,Etanol,2,19/02/2019 11:52
1109449000155,RODOCAMP AUTO SERVICE LTDA,AVENIDA MERCEDES BENZ,1,GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,GNV,2,19/02/2019 11:52
1109449000155,RODOCAMP AUTO SERVICE LTDA,AVENIDA MERCEDES BENZ,1,GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,Diesel S500,3,23/01/2019 14:57
1109449000155,RODOCAMP AUTO SERVICE LTDA,AVENIDA MERCEDES BENZ,1,GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,Diesel S10,3,23/01/2019 14:57
1138114000165,POSTO JK,RODOVIA BR 040 KM 102,S N,,,CRISTALINA,GO,Gasolina C Comum,4,23/12/2019 15:57
1138114000165,POSTO JK,RODOVIA BR 040 KM 102,S N,,,CRISTALINA,GO,Etanol,3,23/12/2019 15:57
1138114000165,POSTO JK,RODOVIA BR 040 KM 102,S N,,,CRISTALINA,GO,Diesel S500,3,23/12/2019 15:57
1138114000165,POSTO JK,RODOVIA BR 040 KM 102,S N,,,CRISTALINA,GO,Diesel S10,3,23/12/2019 15:57
1182484000108,POSTO CHAPARRAL,AVENIDA LINO SAMPAIO,83,,SAMPAIO,PIRES DO RIO,GO,Gasolina C Comum,4,10/08/2018 17:08
1182484000108,POSTO CHAPARRAL,AVENIDA LINO SAMPAIO,83,,SAMPAIO,PIRES DO RIO,GO,Etanol,2,10/08/2018 17:08
1182484000108,POSTO CHAPARRAL,AVENIDA LINO SAMPAIO,83,,SAMPAIO,PIRES DO RIO,GO,Diesel S500,3,10/08/2018 17:08
1182484000108,POSTO CHAPARRAL,AVENIDA LINO SAMPAIO,83,,SAMPAIO,PIRES DO RIO,GO,Diesel S10,3,10/08/2018 17:08
1240986000130,POSTO FERROVIARIO,RODOVIA PA 150,S/N,KM 422,DIST INDUSTRIAL,MARABA,PA,Gasolina C Comum,4,31/07/2019 17:44
1240986000130,POSTO FERROVIARIO,RODOVIA PA 150,S/N,KM 422,DIST INDUSTRIAL,MARABA,PA,Diesel S500,3,31/07/2019 17:44
1240986000130,POSTO FERROVIARIO,RODOVIA PA 150,S/N,KM 422,DIST INDUSTRIAL,MARABA,PA,Diesel S10,3,31/07/2019 17:44
1308133000273,POSTO TRES FAZENDAS,RODOVIA BR 116,14219,,COSTEIRA,SAO JOSE DOS PINHAIS,PR,Gasolina C Comum,4,25/09/2018 09:18
1308133000273,POSTO TRES FAZENDAS,RODOVIA BR 116,14219,,COSTEIRA,SAO JOSE DOS PINHAIS,PR,Diesel S500,3,25/09/2018 09:18
1308133000273,POSTO TRES FAZENDAS,RODOVIA BR 116,14219,,COSTEIRA,SAO JOSE DOS PINHAIS,PR,Diesel S10,3,25/09/2018 09:18
1332532000199,AUTO POSTO MILENIO LTDA,RUA BAHIA,1408,,VILA ROSA,CAMPO GRANDE,MS,Gasolina C Comum,4,15/04/2019 19:18
1332532000199,AUTO POSTO MILENIO LTDA,RUA BAHIA,1408,,VILA ROSA,CAMPO GRANDE,MS,Etanol,3,15/04/2019 19:18
1332532000199,AUTO POSTO MILENIO LTDA,RUA BAHIA,1408,,VILA ROSA,CAMPO GRANDE,MS,Diesel S10,3,15/04/2019 19:18
1392476000188,POSTO MODELO,AVENIDA MANOEL INACIO PEIXOTO,624,,BEIRA RIO,CATAGUASES,MG,Gasolina C Comum,4,17/04/2019 16:21
1392476000188,POSTO MODELO,AVENIDA MANOEL INACIO PEIXOTO,624,,BEIRA RIO,CATAGUASES,MG,Etanol,3,17/04/2019 16:21
1392476000188,POSTO MODELO,AVENIDA MANOEL INACIO PEIXOTO,624,,BEIRA RIO,CATAGUASES,MG,Diesel S500,3,17/04/2019 16:21
1392476000188,POSTO MODELO,AVENIDA MANOEL INACIO PEIXOTO,624,,BEIRA RIO,CATAGUASES,MG,Diesel S10,3,17/04/2019 16:21
1416988000137,POSTO 10,RODOVIA BR 343 KM 10,S/N,,RODOVIA,TERESINA,PI,Gasolina C Comum,4,17/06/2019 11:12
1416988000137,POSTO 10,RODOVIA BR 343 KM 10,S/N,,RODOVIA,TERESINA,PI,Diesel S500,3,17/06/2019 11:12
1416988000137,POSTO 10,RODOVIA BR 343 KM 10,S/N,,RODOVIA,TERESINA,PI,Diesel S10,3,17/06/2019 11:12
1416988000137,POSTO 10,RODOVIA BR 343 KM 10,S/N,,RODOVIA,TERESINA,PI,Etanol,3,17/06/2019 11:12
1443559000159,ROGER SOUZA DA SILVA,ESTRADA BR 293 KM 108,SN,,ZONA URBANA,PINHEIRO MACHADO,RS,Gasolina C Comum,4,14/06/2019 18:23
1443559000159,ROGER SOUZA DA SILVA,ESTRADA BR 293 KM 108,SN,,ZONA URBANA,PINHEIRO MACHADO,RS,Diesel S500,3,14/06/2019 18:23
1443559000159,ROGER SOUZA DA SILVA,ESTRADA BR 293 KM 108,SN,,ZONA URBANA,PINHEIRO MACHADO,RS,Diesel S10,3,14/06/2019 18:23
1574763000109,AUTO POSTO MUTUM LTDA,RODOVIA BR 262,S/N,KM 175,ZONA RURAL,RIBAS DO RIO PARDO,MS,Gasolina C Comum,4,11/07/2018 10:01
1574763000109,AUTO POSTO MUTUM LTDA,RODOVIA BR 262,S/N,KM 175,ZONA RURAL,RIBAS DO RIO PARDO,MS,Etanol,3,11/07/2018 10:01
1574763000109,AUTO POSTO MUTUM LTDA,RODOVIA BR 262,S/N,KM 175,ZONA RURAL,RIBAS DO RIO PARDO,MS,Diesel S500,3,11/07/2018 10:01
1574763000109,AUTO POSTO MUTUM LTDA,RODOVIA BR 262,S/N,KM 175,ZONA RURAL,RIBAS DO RIO PARDO,MS,Diesel S10,3,11/07/2018 10:01
1575816000106,AUTO POSTO RIO ARAGUAIA,RUA CORONEL GRIZORTE,802,,CENTRO,PAU D'ARCO,TO,Gasolina C Comum,4,29/05/2019 13:54
1575816000106,AUTO POSTO RIO ARAGUAIA,RUA CORONEL GRIZORTE,802,,CENTRO,PAU D'ARCO,TO,Diesel S500,3,29/05/2019 13:54
1575816000106,AUTO POSTO RIO ARAGUAIA,RUA CORONEL GRIZORTE,802,,CENTRO,PAU D'ARCO,TO,Diesel S10,3,29/05/2019 13:54
1828198000169,POSTO DE SERVICOS CIDADE DO MAR,AVENIDA EDGAR SCHENEIDER,877,,CURUMIN,CAPAO DA CANOA,RS,Gasolina C Comum,4,12/01/2020 12:26
1828198000169,POSTO DE SERVICOS CIDADE DO MAR,AVENIDA EDGAR SCHENEIDER,877,,CURUMIN,CAPAO DA CANOA,RS,Diesel S500,3,01/01/2020 09:13
1828198000169,POSTO DE SERVICOS CIDADE DO MAR,AVENIDA EDGAR SCHENEIDER,877,,CURUMIN,CAPAO DA CANOA,RS,Diesel S10,3,01/01/2020 09:13
1828198000169,POSTO DE SERVICOS CIDADE DO MAR,AVENIDA EDGAR SCHENEIDER,877,,CURUMIN,CAPAO DA CANOA,RS,Etanol,4,21/04/2019 13:10
1935272000146,POSTOS MOURA,RODOVIA BR 232,204,KM    182,SANTO ANTONIO,BELO JARDIM,PE,Gasolina C Comum,4,04/07/2018 15:28
1935272000146,POSTOS MOURA,RODOVIA BR 232,204,KM    182,SANTO ANTONIO,BELO JARDIM,PE,Etanol,3,04/07/2018 15:28
1935272000146,POSTOS MOURA,RODOVIA BR 232,204,KM    182,SANTO ANTONIO,BELO JARDIM,PE,Diesel S500,3,04/07/2018 15:28
1935272000146,POSTOS MOURA,RODOVIA BR 232,204,KM    182,SANTO ANTONIO,BELO JARDIM,PE,Diesel S10,3,04/07/2018 15:28
2056229000173,POSTO FRANKLIN REZENDE LTDA,RODOVIA MG 367,S/N,KM 278,ZONA RURAL,ARACUAI,MG,Gasolina C Comum,5,16/10/2018 09:58
2056229000173,POSTO FRANKLIN REZENDE LTDA,RODOVIA MG 367,S/N,KM 278,ZONA RURAL,ARACUAI,MG,Etanol,3,16/10/2018 09:58
2056229000173,POSTO FRANKLIN REZENDE LTDA,RODOVIA MG 367,S/N,KM 278,ZONA RURAL,ARACUAI,MG,Diesel S500,4,16/10/2018 09:58
2056229000173,POSTO FRANKLIN REZENDE LTDA,RODOVIA MG 367,S/N,KM 278,ZONA RURAL,ARACUAI,MG,Diesel S10,4,16/10/2018 09:58
2078330000125,SAO MARTINHO AUTO SERVICE LTDA,AVENIDA SAO JOSE DOS CAMPOS,2500,,LOTEAMENTO PARQUE SAO MARTINHO,CAMPINAS,SP,Gasolina C Comum,4,23/01/2019 14:56
2078330000125,SAO MARTINHO AUTO SERVICE LTDA,AVENIDA SAO JOSE DOS CAMPOS,2500,,LOTEAMENTO PARQUE SAO MARTINHO,CAMPINAS,SP,Etanol,2,29/01/2019 10:54
2078330000125,SAO MARTINHO AUTO SERVICE LTDA,AVENIDA SAO JOSE DOS CAMPOS,2500,,LOTEAMENTO PARQUE SAO MARTINHO,CAMPINAS,SP,Diesel S500,3,23/01/2019 14:56
2078330000125,SAO MARTINHO AUTO SERVICE LTDA,AVENIDA SAO JOSE DOS CAMPOS,2500,,LOTEAMENTO PARQUE SAO MARTINHO,CAMPINAS,SP,Diesel S10,3,23/01/2019 14:56
2308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI,RODOVIA RS 040 KM 18,3536,,AGUAS CLARAS,VIAMAO,RS,Gasolina C Comum,4,10/10/2019 17:08
2308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI,RODOVIA RS 040 KM 18,3536,,AGUAS CLARAS,VIAMAO,RS,Etanol,3,10/10/2019 17:08
2308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI,RODOVIA RS 040 KM 18,3536,,AGUAS CLARAS,VIAMAO,RS,GNV,3,10/10/2019 17:08
2308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI,RODOVIA RS 040 KM 18,3536,,AGUAS CLARAS,VIAMAO,RS,Diesel S500,3,10/10/2019 17:08
